Nodes,Acks,PartsMem,AcksMem,TotalMem
1,1,233,169,402
2,4,788,1288,2076
3,9,1665,4275,5940
4,16,3760,10048,13808
5,25,5665,19525,25190
6,36,7956,33624,41580
7,49,13209,53263,66472
8,64,16896,79360,96256
9,81,21033,112833,133866
10,100,30740,154600,185340
11,121,36641,205579,242220
12,144,43056,266688,309744
13,169,58513,338845,397358
14,196,67060,422968,490028
15,225,76185,519975,596160
16,256,98688,630784,729472
17,289,110313,756313,866626
18,324,122580,897480,1020060
19,361,153425,1055203,1208628
20,400,168560,1230400,1398960
21,441,184401,1423989,1608390
22,484,224884,1636888,1861772
23,529,243961,1870015,2113976
24,576,263808,2124288,2388096
25,625,315225,2400625,2715850
26,676,338676,2699944,3038620
27,729,362961,3023163,3386124
28,784,426608,3371200,3797808
29,841,454865,3744973,4199838
30,900,484020,4145400,4629420
31,961,561193,4573399,5134592
32,1024,594688,5029888,5624576
33,1089,629145,5515785,6144930
34,1156,721140,6032008,6753148
35,1225,760305,6579475,7339780
36,1296,800496,7159104,7959600
37,1369,908609,7771813,8680422
38,1444,953876,8418520,9372396
39,1521,1000233,9100143,10100376
40,1600,1125760,9817600,10943360
41,1681,1177561,10571809,11749370
42,1764,1230516,11363688,12594204
43,1849,1374753,12194155,13568908
44,1936,1433520,13064128,14497648
45,2025,1493505,13974525,15468030
46,2116,1657748,14926264,16584012
47,2209,1723913,15920263,17644176
48,2304,1791360,16957440,18748800
49,2401,1976905,18038713,20015618
50,2500,2050900,19165000,21215900